仇曝,2017定,2016定,2015定,2014定,2013定,2012定,2011定,2010定,2009定,2008定
Mongolia,238.9922742,240.9639949,241.3675669,244.200806,250.3445307,256.3450928,265.7477339,273.3518207,278.0828977,270.352563
Greenland,218.7008991,219.7952927,221.6409754,218.468207,221.7125605,224.3861703,228.5445839,233.0177452,236.8725414,239.9383023
Hungary,169.855821,176.1826583,189.4609304,183.2470722,187.3567188,194.7345958,199.3691253,203.1535061,207.9112632,209.8694008
Zimbabwe,166.3216973,168.9196294,170.9574119,173.6450532,177.2733223,182.028041,188.0496703,195.5364029,200.3298019,202.6701203
Swaziland,151.8572825,157.5800447,163.6385867,170.4352749,175.3738052,177.8047087,179.5473868,182.4822156,184.8779432,185.6217041
Uruguay,175.7518513,175.6762739,175.3967226,174.855683,178.3072524,181.0399894,182.3242627,182.1445913,180.3031627,183.1754843
Eritrea,159.7589767,162.4895491,164.9658868,164.7097746,166.639384,169.1236248,171.9405224,174.7584283,175.8634331,178.7074765
Serbia,171.8175244,174.8170631,180.0397698,178.9535025,177.7943691,179.615635,179.2744835,177.484157,178.0935524,176.5800181
Croatia,153.4268278,158.5328879,169.100282,165.5815161,162.6662491,167.9830119,168.8711068,169.2500464,169.3724217,175.0873513
Denmark,151.6693911,151.5723619,151.0760564,153.2700848,157.4559188,161.0977293,164.7071167,171.7612709,172.9856443,173.7723326
Lesotho,154.5889435,160.7189878,165.8036622,167.265219,168.0982705,167.7925373,167.1002807,167.9690884,169.1429507,171.4096244
Tonga,165.7564799,166.7647856,167.7412629,168.4627235,169.0276053,169.5532608,170.0651999,170.537198,169.788688,170.205255
Poland,157.7379797,160.5150848,164.2302513,162.1392429,165.1054004,166.1198075,163.8772707,164.5603646,167.9101453,168.724129
Marshall Islands,160.8527111,161.7168375,163.4888513,163.4510628,164.9737738,165.3757457,166.4117762,167.9566617,167.5058715,168.5194937
Vanuatu,167.7799701,168.2201382,168.3847304,168.3636722,168.5523043,168.6742445,168.762176,168.8404891,168.8168017,168.4308845
Scotland,157.7137396,159.8674408,157.7902253,155.0778871,159.1728159,159.3071671,161.6479277,163.3488167,164.1380831,168.0766292
Slovakia,147.4667516,150.5868752,157.3909131,155.5943215,157.414442,159.5959622,161.2219512,162.1457648,165.1624336,165.8246325
Czech Republic,139.1765076,139.7498517,141.8639807,143.4171317,148.9259098,152.9790839,156.859722,161.1078229,162.706596,165.409906
United States Virgin Islands,170.5140104,173.7496918,176.7490593,175.6351748,176.5251332,176.7966996,174.7714474,171.3602,167.5158475,164.9497243
Lithuania,141.7089666,143.0567238,144.0861283,143.6216395,148.8682429,148.6448555,150.8752684,153.4609896,152.5491978,164.2365852
Haiti,158.5218952,159.3895031,160.2683631,161.1783425,162.3744417,163.456312,164.3173461,164.2189531,163.7490968,163.9509575
Netherlands,152.8369588,153.7055512,152.6358037,151.9398505,155.9406602,159.1465936,159.9327952,160.5846991,161.5889451,163.5017787
Central Europe,151.023685,153.4093108,157.0402433,155.8491102,157.0995272,159.0516596,159.0074387,161.0077731,162.8114731,163.2718615
Slovenia,137.3698723,138.7759039,143.1747495,141.435577,149.6417668,152.7947627,152.8400289,157.0305007,159.0411865,161.6924452
Latvia,141.0268516,142.7425403,144.3603851,147.7176215,150.7981603,149.8093719,152.2327054,154.7169979,155.2788656,158.9580966
United Arab Emirates,156.6027949,157.0440476,157.647632,157.9243058,158.9676382,159.297487,159.6790492,159.6226842,158.4552582,157.9530537
Bolivia,146.169073,146.8889025,147.7043559,148.6219862,149.7694366,151.0434179,152.3715784,153.6711748,154.8783016,156.0869926
Seychelles,156.4491967,156.0001488,155.3770825,153.1771025,152.786092,154.4665266,156.1811717,156.9759938,156.6694542,155.7149948
Dominica,169.2360383,169.2522739,169.349751,167.6242342,165.4228282,163.5053174,162.6749075,160.1079044,157.5064056,155.1442827
Myanmar,136.3641832,137.7940793,138.8585455,140.0275905,141.8938249,143.6047941,146.093235,148.9920813,152.1958568,154.756836
Wales,143.064386,143.3262661,142.3615987,141.3244723,144.5257652,144.7950912,145.7937877,148.9892051,151.1633464,153.874752
Brunei,157.9435967,160.8545892,162.173842,161.0726294,161.253392,161.6394837,160.5656881,156.1266018,154.406791,153.2669459
