地区,2015年,2016年,2017年
Algeria,6,8.2,14.8
Australia,13.7,14.8,15
Austria,14.1,15.6,17.9
Brazil,18.6,13.7,18
Bulgaria,5.9,5.7,6.3
Canada,15.1,15.6,17.3
China,7.5,18.1,17.5
Colombia,6.1,9,9
Croatia,16.5,15.2,13.6
Cuba,21.8,14.1,18.2
Czech Republic,8.5,10.9,12.3
Denmark,8,9.6,11.3
Ecuador,34.5,37.8,28.7
Estonia,8.2,10.9,11.9
Finland,11,11.8,12.3
France,12.8,13.9,13.6
Germany,11.6,15.1,16.2
Iceland,14.3,14.5,15
India,4.4,9.8,9.6
Ireland,9.5,10.3,12.9
Israel,17.3,20.7,23.8
Italy,12.9,14,14.7
Japan,22.9,28.5,30.1
Jordan,12.1,7.7,4.4
Lithuania,10,8.3,7.7
Malaysia,15.1,13.1,10.7
Malta,10.9,9.3,10.8
Netherlands,12.4,12.2,14.8
New Zealand,12.2,11.4,12.4
Norway,10.7,11.7,15
Poland,11.4,11.7,13.4
Portugal,10.4,10.4,12.8
Puerto Rico,,14.8,15.8
Russia,,14.7,15.7
Slovakia,,9.6,10.7
Slovenia,8.5,9.7,11.4
South Korea,9.6,15.2,18.5
Spain,10.2,11.5,12.6
Sweden,12.2,13.3,15.6
Switzerland,13,11.6,18.5
Taiwan,13.3,11.6,14.3
Thailand,31.9,14.2,13.5
Turkey,19.2,11,10.1
United Kingdom,7.3,8.5,9.6
United States,15.2,16.6,18.7
Uruguay,,12.5,9.1
