地区,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年,2008年
Afghanistan,0.529079232,0.528651694,0.52697918,0.528676177,0.528804385,0.52784902,0.527810158,0.527335169,0.526566856,0.526510633
Albania,1.152906741,1.147878131,1.138578417,1.127605484,1.114455725,1.101678523,1.088156316,1.073009036,1.060334052,1.040675187
Algeria,0.581716794,0.576813323,0.572269716,0.566917357,0.560418663,0.55558806,0.550248464,0.544098259,0.53873498,0.530016
American Samoa,1.078901098,1.077853478,1.077182266,1.070170911,1.0722262,1.064321096,1.052051801,1.031981396,1.015857069,0.99324115
Andean Latin America,0.66579075,0.662201532,0.654908559,0.653206319,0.654465608,0.656688021,0.658581951,0.657089413,0.652658609,0.638640327
Andorra,2.409174488,2.412753016,2.417028455,2.436800419,2.451752666,2.463170818,2.469155176,2.473074705,2.4701782,2.45827083
Angola,0.424512079,0.420690055,0.416494111,0.413972636,0.418031742,0.417162941,0.417796888,0.418672291,0.419195663,0.420813513
Antigua and Barbuda,1.237918689,1.227232761,1.215199588,1.201659551,1.185272432,1.171404703,1.154819221,1.14040886,1.122895837,1.104548772
Argentina,1.176868831,1.16890221,1.158582966,1.150444898,1.151903261,1.144044375,1.135205568,1.128786476,1.12896219,1.116681643
Armenia,1.011247098,1.011840622,1.007308144,0.984703804,0.968579615,0.960941438,0.947612372,0.933475223,0.9195875,0.904915123
Australasia,3.067558643,3.080230456,3.088979683,3.081065218,3.060108763,3.05035984,3.066036062,3.072968362,3.077269598,3.060276726
Australia,3.042002085,3.061455515,3.077739115,3.074024099,3.056725092,3.048344638,3.072923896,3.082087922,3.082659335,3.059068569
Austria,2.228314728,2.230224759,2.232641523,2.224757222,2.201419768,2.189718822,2.186490287,2.180836137,2.172979669,2.14263199
Azerbaijan,0.759395122,0.74957941,0.738217812,0.727569163,0.71479018,0.706836793,0.694397229,0.684843527,0.668990559,0.653792749
Bahamas,1.402439079,1.405324625,1.406390518,1.406205016,1.40498935,1.398487148,1.39417631,1.381334299,1.363462381,1.333259341
Bahrain,0.642360539,0.638835254,0.635391769,0.633196295,0.630821574,0.632732202,0.63271809,0.636007751,0.641617155,0.6524684
Bangladesh,0.254187684,0.247974979,0.243443092,0.23870001,0.234541695,0.232597326,0.232282185,0.233106625,0.233334578,0.234877811
Barbados,1.502144362,1.506146829,1.510630414,1.513802959,1.514540154,1.512845001,1.520727894,1.517786864,1.503826201,1.48381093
Belarus,1.574580899,1.55269839,1.52508768,1.522690516,1.49371091,1.456093031,1.476402699,1.439399999,1.401948459,1.357038441
Belgium,2.129967521,2.142194888,2.155455454,2.140157918,2.14597313,2.130462455,2.121630681,2.112800627,2.113430291,2.117193498
Belize,0.657790338,0.653410772,0.647036937,0.641069185,0.637931103,0.637381567,0.635379885,0.631782476,0.626864878,0.625355428
Benin,0.401147804,0.399249758,0.398644319,0.397648498,0.396880744,0.392583939,0.388164821,0.382454847,0.379167214,0.375296725
